column_name;label;class;is_ordered;is_factor;n_unique;example_values
civicspace_youth_express;"Menurut kamu, apa yang membuat ruang sipil aman dan ramah bagi anak muda? 
 (Pilih semua yang relevan) - Kebebasan untuk mengekspresikan pendapat secara terbuka";character;FALSE;FALSE;2;NA, Kebebasan untuk mengekspresikan pendapat secara terbuka
civicspace_youth_protect;"Menurut kamu, apa yang membuat ruang sipil aman dan ramah bagi anak muda? 
 (Pilih semua yang relevan) - Perlindungan negara terhadap ancaman atau diskriminasi saat menggunakan kebebasan tersebut";character;FALSE;FALSE;2;NA, Perlindungan negara terhadap ancaman atau diskriminasi saat menggunakan kebebasan tersebut
civicspace_youth_resource;"Menurut kamu, apa yang membuat ruang sipil aman dan ramah bagi anak muda? 
 (Pilih semua yang relevan) - Akses terhadap informasi dan sumber daya";character;FALSE;FALSE;2;Akses terhadap informasi dan sumber daya, NA
civicspace_youth_representation;"Menurut kamu, apa yang membuat ruang sipil aman dan ramah bagi anak muda? 
 (Pilih semua yang relevan) - Representasi atau perwakilan dari pendapat yang beragam";character;FALSE;FALSE;2;Representasi atau perwakilan dari pendapat yang beragam, NA
civicspace_youth_chal_intimidation;"Apa tantangan terbesar bagi anak muda dalam mengakses ruang sipil di wilayah kamu? 
 (Pilih maksimal 3) - Ketakutan akan pelecehan atau intimidasi saat berkumpul secara damai";character;FALSE;FALSE;2;NA, Ketakutan akan pelecehan atau intimidasi saat berkumpul secara damai
civicspace_youth_chal_ban;"Apa tantangan terbesar bagi anak muda dalam mengakses ruang sipil di wilayah kamu? 
 (Pilih maksimal 3) - Pembatasan dalam membentuk atau bergabung dengan kelompok tertentu";character;FALSE;FALSE;2;NA, Pembatasan dalam membentuk atau bergabung dengan kelompok tertentu
civicspace_youth_chal_censoring;"Apa tantangan terbesar bagi anak muda dalam mengakses ruang sipil di wilayah kamu? 
 (Pilih maksimal 3) - Adanya perasaan tidak bebas dan takut dalam menyampaikan opini dan kritik di ruang terbuka seperti media sosial dan media lainnya";character;FALSE;FALSE;2;NA, Adanya perasaan tidak bebas dan takut dalam menyampaikan opini dan kritik di ruang terbuka seperti media sosial dan media lainnya
civicspace_youth_chal_unprotection;"Apa tantangan terbesar bagi anak muda dalam mengakses ruang sipil di wilayah kamu? 
 (Pilih maksimal 3) - Kurangnya perlindungan dari pemerintah saat menggunakan hak-hak anak muda";character;FALSE;FALSE;2;NA, Kurangnya perlindungan dari pemerintah saat menggunakan hak-hak anak muda
civicspace_youth_chal_safespace;"Apa tantangan terbesar bagi anak muda dalam mengakses ruang sipil di wilayah kamu? 
 (Pilih maksimal 3) - Tidak adanya ruang aman untuk berkumpul atau berorganisasi";character;FALSE;FALSE;2;NA, Tidak adanya ruang aman untuk berkumpul atau berorganisasi
civicspace_youth_chal_discrimination;"Apa tantangan terbesar bagi anak muda dalam mengakses ruang sipil di wilayah kamu? 
 (Pilih maksimal 3) - Diskriminasi berdasarkan gender, etnis, atau agama";character;FALSE;FALSE;2;NA, Diskriminasi berdasarkan gender, etnis, atau agama
civicspace_youth_chal_resource;"Apa tantangan terbesar bagi anak muda dalam mengakses ruang sipil di wilayah kamu? 
 (Pilih maksimal 3) - Akses terbatas ke sumber daya atau dukungan untuk kegiatan yang dipimpin oleh anak muda";character;FALSE;FALSE;2;Akses terbatas ke sumber daya atau dukungan untuk kegiatan yang dipimpin oleh anak muda, NA
gov_response_humanrights;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Isu kemanusiaan dan Hak Asasi Manusia";numeric;FALSE;FALSE;11;4, 5, 2001
gov_response_environment;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Perlindungan lingkungan hidup";numeric;FALSE;FALSE;11;4, 10, 2001
gov_response_foodresource;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Ketahanan pangan dan pengelolaan sumber daya alam";numeric;FALSE;FALSE;11;4, 5, 2009
gov_response_vulnerabelpop;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Perlindungan terhadap kelompok rentan";numeric;FALSE;FALSE;11;4, 2, 10
gov_response_healthaccess;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Akses dan layanan kesehatan";numeric;FALSE;FALSE;11;6, 10, 2007
gov_response_eduaccess;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Peningkatan akses dan kualitas pendidikan";numeric;FALSE;FALSE;11;6, 5, 10
gov_response_poverty;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Penanganan kemiskinan";numeric;FALSE;FALSE;11;6, 3, 10
gov_response_inequality;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Pengurangan ketimpangan sosial dan ekonomi";numeric;FALSE;FALSE;11;6, 3, 10
gov_response_economicopp;"Gunakan slider di bawah ini untuk menilai seberapa responsifnya pemerintah dalam menangani isu-isu berikut:
 (Skala: Tidak Responsif Sama Sekali 0 --- Sangat Responsif 10) - Kesempatan kerja dan pemberdayaan ekonomi";numeric;FALSE;FALSE;11;6, 3, 10
elit_percep_national;"Apa persepsi kamu tentang elit politik nasional di Indonesia?
 (Elit politik nasional melingkupi presiden, wakil presiden, menteri, anggota legisatif pusat, dan pimpinan partai politik)";ordered, factor;TRUE;TRUE;5;Netral, Tidak baik, Sangat tidak baik
elit_percep_local;"Apa persepsi kamu tentang elit politik lokal di wilayah kamu?
 (Elit politik lokal melingkupi gubernur, bupati, anggota legisatif provinsi dan kabupaten/kota, kepala dinas, dan pimpinan partai politik provinsi dan kabupaten/kota)";ordered, factor;TRUE;TRUE;5;Netral, Tidak baik, Sangat tidak baik
issue_commited_voicing;Seberapa sering kamu menyuarakan pandangan kamu tentang isu sosial atau politik lewat media sosial?;ordered, factor;TRUE;TRUE;5;Kadang-kadang terlibat, Jarang terlibat, Sering terlibat
issue_motiv_environment;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Perlindungan lingkungan hidup";character;FALSE;FALSE;2;Perlindungan lingkungan hidup, NA
issue_motiv_foodresources;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Ketahanan pangan dan pengelolaan sumber daya alam";character;FALSE;FALSE;2;NA, Ketahanan pangan dan pengelolaan sumber daya alam
issue_motiv_vulnerablepop;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Perlindungan terhadap kelompok rentan";character;FALSE;FALSE;2;Perlindungan terhadap kelompok rentan, NA
issue_motiv_humanrights;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Isu kemanusiaan dan Hak Asasi Manusia";character;FALSE;FALSE;2;NA, Isu kemanusiaan dan Hak Asasi Manusia
issue_motiv_healthaccess;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Akses dan layanan kesehatan";character;FALSE;FALSE;2;NA, Akses dan layanan kesehatan
issue_motiv_educaccess;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Peningkatan akses dan kualitas pendidikan";character;FALSE;FALSE;2;NA, Peningkatan akses dan kualitas pendidikan
issue_motiv_poverty;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Penanganan kemiskinan";character;FALSE;FALSE;2;NA, Penanganan kemiskinan
issue_motiv_inequality;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Pengurangan ketimpangan sosial dan ekonomi";character;FALSE;FALSE;2;Pengurangan ketimpangan sosial dan ekonomi, NA
issue_motiv_economicopp;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Kesempatan kerja dan pemberdayaan ekonomi";character;FALSE;FALSE;2;NA, Kesempatan kerja dan pemberdayaan ekonomi
issue_motiv_other;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Selected Choice - Lainnya (sebutkan)";character;FALSE;FALSE;2;NA, Lainnya (sebutkan)
issue_motiv_text;"Isu apa yang membuat kamu rela mengorbankan uang dan waktu untuk mendukung atau memperjuangkannya?
 (Pilih semua yang relevan) - Lainnya (sebutkan) - Teks";character;FALSE;FALSE;28;NA, Hu, Pemberdayaan dan perlindungan perempuan
issue_commited_resources;Seberapa banyak uang, waktu, dan tenaga yang rela kamu korbankan untuk mendukung atau memperjuangkan isu yang kamu pedulikan tersebut?;numeric;FALSE;FALSE;7;40, 60, 20
